"movie_id","primaryTitle","originalTitle","genre","runtimeMinutes","releaseYear","language","averageRating"
8231202,"This Is the Year","This is the Year","Comedy",97,2020,"en",8
8232648,"A Christmas Carol","A Christmas Carol","Drama",81,2018,"en",7
8232756,"Spiral","Spirál","Drama",98,2020,"en",6
8233368,"Milly & Mamet","Milly & Mamet: Ini Bukan Cinta & Rangga","Drama",101,2018,"en",7
8233368,"Milly & Mamet","Milly & Mamet: Ini Bukan Cinta & Rangga","Comedy",101,2018,"en",7
8233874,"Extra Ordinary","Extra Ordinary","Comedy",94,2019,"en",6
8233874,"Extra Ordinary","Extra Ordinary","Horror",94,2019,"en",6
8233874,"Extra Ordinary","Extra Ordinary","Fantasy",94,2019,"en",6
8234866,"The Eternal Life of Alexander Christoforov","Vechnaya zhizn Aleksandra Khristoforova","Comedy",104,2018,"en",6
8234892,"Knives and Skin","Knives and Skin","Drama",111,2019,"en",5
8234892,"Knives and Skin","Knives and Skin","Thriller",111,2019,"en",5
8234892,"Knives and Skin","Knives and Skin","Mystery",111,2019,"en",5
8235050,"Territorio","Territorio","Drama",94,2020,"en",7
8236214,"Slasher Party","Slasher Party","Horror",80,2019,"en",5
8236336,"The Report","The Report","Drama",119,2019,"en",7
8236336,"The Report","The Report","Biography",119,2019,"en",7
8236336,"The Report","The Report","Crime",119,2019,"en",7
8236366,"The Shed","The Shed","Drama",98,2019,"en",5
8236366,"The Shed","The Shed","Horror",98,2019,"en",5
8237152,"Dust","Dust","Drama",80,2019,"en",7
8237172,"Gundala","Gundala","Drama",123,2019,"en",6
8237172,"Gundala","Gundala","Adventure",123,2019,"en",6
8237172,"Gundala","Gundala","Action",123,2019,"en",6
8237272,"Marionette","Marionette","Thriller",112,2020,"en",6
8237272,"Marionette","Marionette","Mystery",112,2020,"en",6
8237282,"Shikari","Shikari","Drama",109,2018,"en",5
8237282,"Shikari","Shikari","Comedy",109,2018,"en",5
8237888,"The Night She Moves","Yo la busco","Drama",85,2018,"en",7
8237888,"The Night She Moves","Yo la busco","Romance",85,2018,"en",7
8239736,"Flight 666","Flight 666","Comedy",89,2018,"en",4
8239736,"Flight 666","Flight 666","Horror",89,2018,"en",4
8239736,"Flight 666","Flight 666","Family",89,2018,"en",4
8239806,"The White Storm 2: Drug Lords","So duk 2: Tin dei duei kuet","Crime",99,2019,"en",6
8239806,"The White Storm 2: Drug Lords","So duk 2: Tin dei duei kuet","Action",99,2019,"en",6
8239946,"Tumbbad","Tumbbad","Drama",104,2018,"en",8
8239946,"Tumbbad","Tumbbad","Horror",104,2018,"en",8
8239946,"Tumbbad","Tumbbad","Fantasy",104,2018,"en",8
8240250,"Out of Tune","De frivillige","Drama",89,2019,"en",6
8240250,"Out of Tune","De frivillige","Comedy",89,2019,"en",6
8241000,"Extinct","Extinct","Comedy",84,2021,"en",7
8241000,"Extinct","Extinct","Adventure",84,2021,"en",7
8241000,"Extinct","Extinct","Animation",84,2021,"en",7
8241872,"Vitalina Varela","Vitalina Varela","Drama",124,2019,"en",7
8241876,"5th Borough","5th Borough","Crime",95,2020,"en",6
8242084,"My Spy","My Spy","Comedy",99,2020,"en",6
8242084,"My Spy","My Spy","Action",99,2020,"en",6
8242160,"4L","4 latas","Drama",105,2019,"en",6
8242160,"4L","4 latas","Comedy",105,2019,"en",6
8243160,"Hacker","Hacker","Action",97,2019,"en",5
8243160,"Hacker","Hacker","Family",97,2019,"en",5
